2022-11-07,,Clayton State,W,93,63,35,73,.479,7,20,.350,16,24,.667,17,46,17,8,6,11,15,,26,70,.371,4,22,.182,7,11,.636,14,28,13,6,2,12,18
2022-11-12,@,Georgia State,W,59,57,19,48,.396,3,8,.375,18,27,.667,7,32,7,7,3,13,18,,21,57,.368,2,14,.143,13,21,.619,12,31,11,8,2,14,26
2022-11-17,,Northern Illinois,W,68,50,27,69,.391,5,18,.278,9,13,.692,10,42,14,7,10,9,16,,18,67,.269,5,24,.208,9,21,.429,16,43,11,5,3,14,16
2022-11-21,N,Utah,L,64,68,24,69,.348,5,23,.217,11,20,.550,15,28,12,13,4,4,17,,24,52,.462,5,16,.313,15,21,.714,11,41,9,2,5,19,17
2022-11-23,N,Marquette,L,60,84,22,65,.338,7,23,.304,9,10,.900,10,33,7,4,5,12,17,,29,61,.475,9,23,.391,17,22,.773,8,35,14,7,6,10,15
2022-11-26,,North Alabama,W,80,61,31,52,.596,6,19,.316,12,16,.750,6,29,16,8,5,14,9,,26,62,.419,4,18,.222,5,11,.455,11,28,14,7,0,16,14
2022-11-29,@,Iowa,L,65,81,25,64,.391,7,23,.304,8,10,.800,10,30,13,6,1,10,21,,27,60,.450,9,26,.346,18,31,.581,19,44,21,5,6,9,11
2022-12-02,,Northeastern,W,81,63,28,63,.444,5,16,.313,20,26,.769,15,43,11,5,4,9,17,,22,62,.355,5,25,.200,14,22,.636,9,30,14,4,6,11,17
2022-12-06,,Georgia,W,79,77,30,63,.476,5,19,.263,14,19,.737,9,25,14,7,5,6,11,,31,58,.534,6,13,.462,9,16,.563,6,28,15,2,3,11,16
2022-12-10,@,UNC,L,59,75,22,54,.407,9,26,.346,6,8,.750,1,22,10,8,5,10,20,,27,57,.474,3,13,.231,18,24,.750,11,41,15,5,1,11,11
2022-12-17,,Alabama State,W,96,60,37,68,.544,13,24,.542,9,13,.692,6,43,25,5,8,5,17,,23,66,.348,4,20,.200,10,15,.667,5,31,10,3,2,7,14
2022-12-21,,Clemson,L,66,79,25,58,.431,5,23,.217,11,18,.611,5,28,10,4,5,10,17,,31,62,.500,5,18,.278,12,13,.923,8,38,20,3,3,10,22
2022-12-31,,Virginia,L,56,74,20,45,.444,7,16,.438,9,13,.692,7,25,11,6,1,23,16,,27,57,.474,10,22,.455,10,16,.625,11,31,21,14,3,11,14
2023-01-04,,Miami (FL),W,76,70,25,61,.410,9,24,.375,17,19,.895,11,40,15,3,2,15,17,,24,68,.353,5,32,.156,17,25,.680,13,32,12,13,3,6,17
2023-01-07,@,Florida State,L,64,75,23,57,.404,9,24,.375,9,12,.750,9,31,15,6,1,13,12,,30,61,.492,10,25,.400,5,8,.625,7,32,23,5,0,9,11
2023-01-10,@,Notre Dame,L (1 OT),72,73,27,66,.409,8,27,.296,10,12,.833,11,38,14,7,5,11,18,,25,59,.424,9,24,.375,14,19,.737,6,31,12,7,6,13,15
2023-01-14,,Pitt,L,60,71,24,66,.364,12,29,.414,0,3,.000,10,33,15,0,2,10,16,,24,56,.429,6,20,.300,17,20,.850,6,32,5,6,4,2,12
2023-01-17,,NC State,L,66,78,28,71,.394,2,21,.095,8,19,.421,16,34,16,8,3,9,18,,27,53,.509,7,21,.333,17,20,.850,7,36,15,6,7,14,19
