2021-11-09,,Brewton-Parker,W,97,37,34,69,.493,9,30,.300,20,23,.870,13,36,17,21,7,10,9,,15,58,.259,4,19,.211,3,6,.500,12,31,7,6,1,28,20
2021-11-12,,Northeastern,W,83,64,33,67,.493,12,26,.462,5,8,.625,11,34,16,6,1,7,19,,22,51,.431,13,32,.406,7,12,.583,6,23,17,3,4,13,15
2021-11-16,@,Richmond,L,78,94,29,65,.446,10,23,.435,10,20,.500,11,34,11,9,2,13,19,,33,54,.611,16,29,.552,12,21,.571,3,34,24,10,2,12,20
2021-11-20,N,William & Mary,W,77,59,27,56,.482,8,19,.421,15,25,.600,12,43,14,10,6,21,22,,20,58,.345,6,25,.240,13,23,.565,9,26,13,8,2,18,25
2021-11-21,@,High Point,W (1 OT),74,66,22,61,.361,6,19,.316,24,33,.727,13,38,10,9,5,14,16,,24,58,.414,8,23,.348,10,18,.556,10,34,15,8,6,21,24
2021-11-27,@,Rhode Island,L,59,94,14,45,.311,7,22,.318,24,29,.828,2,21,11,3,2,14,20,,33,62,.532,15,28,.536,13,22,.591,11,41,25,7,4,12,20
2021-12-04,@,Mercer,L,77,83,27,60,.450,14,30,.467,9,11,.818,8,24,12,7,5,9,13,,31,58,.534,8,19,.421,13,16,.813,9,32,15,7,7,10,8
2021-12-06,,Voorhees,W,80,51,34,78,.436,8,29,.276,4,10,.400,22,50,25,10,4,14,7,,21,56,.375,6,15,.400,3,6,.500,6,29,10,8,4,22,16
2021-12-14,@,Mississippi State,L,50,79,20,61,.328,6,23,.261,4,10,.400,9,26,9,7,2,9,19,,24,44,.545,5,10,.500,26,30,.867,5,37,21,6,5,13,14
2021-12-18,,Toccoa Falls,W,92,44,33,60,.550,16,31,.516,10,14,.714,16,43,23,13,8,16,11,,15,51,.294,4,16,.250,10,14,.714,7,21,6,9,1,17,13
2021-12-21,N,Georgia Tech,L (1 OT),62,72,20,71,.282,7,22,.318,15,19,.789,9,29,11,12,5,11,20,,22,56,.393,9,22,.409,19,24,.792,11,49,11,6,5,23,19
2022-01-06,,UT Arlington,L,63,70,27,68,.397,6,24,.250,3,8,.375,10,32,14,6,7,5,17,,26,67,.388,7,18,.389,11,15,.733,15,48,16,4,2,10,13
2022-01-13,@,South Alabama,L,65,74,23,60,.383,6,19,.316,13,19,.684,4,23,11,6,3,12,16,,26,54,.481,8,22,.364,14,18,.778,8,37,14,3,5,19,16
2022-01-20,,Appalachian State,L,60,61,25,66,.379,6,25,.240,4,6,.667,15,37,10,5,2,12,10,,22,50,.440,8,21,.381,9,13,.692,1,21,14,8,2,11,9
2022-01-22,,Coastal Carolina,L (1 OT),68,72,26,82,.317,3,28,.107,13,19,.684,21,40,12,14,8,10,14,,25,62,.403,10,22,.455,12,15,.800,14,39,18,5,7,19,16
2022-01-27,@,Louisiana,W,68,64,25,60,.417,6,18,.333,12,15,.800,12,31,11,13,6,13,17,,23,55,.418,12,22,.545,6,13,.462,11,33,11,8,3,19,14
2022-01-29,@,Louisiana-Monroe,W,73,62,28,61,.459,9,28,.321,8,11,.727,14,30,16,9,3,10,13,,23,46,.500,6,14,.429,10,12,.833,4,23,14,3,3,15,11
2022-02-03,,Troy,L,63,67,21,63,.333,6,22,.273,15,27,.556,18,34,3,13,6,14,24,,18,46,.391,3,13,.231,28,36,.778,12,42,13,9,4,21,18
2022-02-05,,South Alabama,W,69,62,20,55,.364,5,21,.238,24,28,.857,6,29,12,7,0,12,20,,21,52,.404,4,20,.200,16,21,.762,7,28,9,7,5,14,25
2022-02-10,@,Coastal Carolina,W,61,50,19,55,.345,8,29,.276,15,23,.652,15,44,13,8,4,15,14,,16,59,.271,7,26,.269,11,17,.647,16,39,8,7,2,13,19


2022-02-12,@,Appalachian State,W,58,49,18,56,.321,5,26,.192,17,19,.895,11,39,11,10,3,12,18,,15,49,.306,7,20,.350,12,17,.706,3,29,9,6,1,14,16
2022-02-17,,Georgia Southern,W,79,63,28,65,.431,7,22,.318,16,24,.667,14,39,12,5,3,7,15,,23,52,.442,6,20,.300,11,15,.733,3,22,9,6,0,11,21
2022-02-19,@,Georgia Southern,W,58,49,21,54,.389,6,19,.316,10,14,.714,6,30,12,8,7,13,9,,19,56,.339,6,21,.286,5,9,.556,8,29,13,7,3,13,12
2022-02-23,,Louisiana-Monroe,W,82,70,31,66,.470,12,29,.414,8,11,.727,13,41,21,8,7,15,17,,27,58,.466,6,14,.429,10,18,.556,6,28,12,8,2,11,12
2022-02-25,,Louisiana,W,65,58,23,61,.377,5,19,.263,14,19,.737,12,28,15,11,2,9,14,,22,52,.423,5,21,.238,9,15,.600,9,33,5,7,2,14,19
2022-03-05,N,Arkansas State,W,65,62,22,58,.379,4,21,.190,17,22,.773,11,34,8,10,7,9,19,,21,59,.356,4,17,.235,16,18,.889,10,37,9,5,0,14,18
2022-03-06,N,Appalachian State,W,71,66,25,58,.431,8,15,.533,13,17,.765,9,32,19,5,6,9,12,,23,57,.404,13,26,.500,7,10,.700,9,29,9,3,5,14,17
2022-03-07,N,Louisiana,W,80,71,24,55,.436,10,15,.667,22,24,.917,9,32,20,5,4,6,17,,25,58,.431,6,18,.333,15,22,.682,12,31,7,2,5,9,19
2022-03-17,N,Gonzaga,L,72,93,23,70,.329,6,16,.375,20,25,.800,12,36,12,5,5,7,25,,36,71,.507,5,18,.278,16,30,.533,16,53,23,5,9,7,18
