2022-11-07,,St. Mary's (MD),W,97,43,37,56,.661,10,21,.476,13,17,.765,4,42,19,9,6,17,9,,18,75,.240,2,22,.091,5,8,.625,14,29,5,12,3,12,13
2022-11-11,,Methodist,W,110,47,41,74,.554,16,33,.485,12,13,.923,15,49,30,10,7,10,10,,20,61,.328,5,19,.263,2,2,1.000,5,22,8,7,3,16,12
2022-11-18,@,USC Upstate,L,78,79,28,57,.491,3,15,.200,19,22,.864,12,39,7,5,3,13,18,,32,64,.500,9,18,.500,6,15,.400,10,26,19,7,2,7,22
2022-11-23,@,Missouri,L,51,89,15,61,.246,6,23,.261,15,16,.938,12,40,9,5,2,27,8,,35,75,.467,12,33,.364,7,8,.875,11,39,27,16,6,9,18
2022-11-26,,South Dakota,W,66,59,24,56,.429,6,16,.375,12,16,.750,13,38,10,7,3,8,13,,23,58,.397,10,27,.370,3,8,.375,12,30,9,4,0,8,17
2022-11-30,,UNC Wilmington,L,58,60,17,47,.362,2,13,.154,22,28,.786,7,28,5,7,4,16,16,,22,57,.386,12,29,.414,4,8,.500,9,31,14,9,3,14,25
2022-12-03,@,Winthrop,W,86,81,29,58,.500,7,24,.292,21,26,.808,8,28,17,8,6,14,22,,26,60,.433,13,36,.361,16,20,.800,11,28,11,5,3,14,23
2022-12-06,@,Wofford,L,61,71,26,66,.394,4,25,.160,5,6,.833,10,32,7,5,6,10,15,,28,62,.452,5,26,.192,10,12,.833,11,39,9,3,2,13,11
2022-12-10,,Regent,W,102,39,43,81,.531,3,18,.167,13,21,.619,20,48,20,21,9,8,15,,14,55,.255,4,17,.235,7,12,.583,10,30,7,7,3,29,16
2022-12-14,@,South Dakota,W,87,86,29,63,.460,7,19,.368,22,24,.917,11,31,12,2,1,9,17,,26,52,.500,16,33,.485,18,22,.818,7,30,16,5,0,16,20
2022-12-19,,College of Charleston,L,69,83,27,65,.415,5,18,.278,10,17,.588,8,31,10,7,1,12,21,,26,61,.426,14,37,.378,17,22,.773,11,39,15,8,3,12,19
2022-12-29,,Louisiana,W,77,76,25,53,.472,8,21,.381,19,24,.792,6,26,14,4,8,10,15,,30,72,.417,5,22,.227,11,12,.917,15,37,17,7,4,9,21
2022-12-31,,Georgia Southern,L,64,73,27,59,.458,6,18,.333,4,8,.500,7,30,15,3,2,10,15,,26,60,.433,9,24,.375,12,16,.750,11,37,12,4,2,8,13
2023-01-05,@,Appalachian State,L,62,63,24,59,.407,7,24,.292,7,8,.875,10,35,9,4,1,12,13,,27,66,.409,8,26,.308,1,7,.143,12,34,15,8,6,7,11
2023-01-07,@,Marshall,L,66,81,26,70,.371,10,30,.333,4,7,.571,11,33,14,6,0,14,21,,28,67,.418,7,28,.250,18,26,.692,18,49,16,7,5,13,12
2023-01-12,@,Old Dominion,W,67,66,20,63,.317,9,33,.273,18,22,.818,15,43,10,2,3,11,17,,25,63,.397,5,27,.185,11,19,.579,11,35,10,7,7,4,15
2023-01-14,@,Georgia State,L,66,100,20,57,.351,5,22,.227,21,27,.778,13,24,7,7,2,11,15,,37,58,.638,16,28,.571,10,15,.667,6,28,26,5,4,11,18
2023-01-19,,Appalachian State,W (1 OT),93,84,36,62,.581,13,22,.591,8,13,.615,8,29,24,5,2,14,16,,27,63,.429,12,30,.400,18,22,.818,10,26,16,8,2,11,12
2023-01-21,,South Alabama,W (1 OT),85,81,33,68,.485,7,19,.368,12,15,.800,7,38,15,4,2,7,11,,31,67,.463,16,40,.400,3,7,.429,5,31,20,5,8,8,16
2023-01-23,,Chicago State,L,70,74,25,60,.417,13,37,.351,7,14,.500,18,32,19,3,4,9,16,,25,53,.472,10,28,.357,14,17,.824,13,33,13,4,1,10,18


2023-01-26,@,James Madison,L,69,75,28,62,.452,9,24,.375,4,6,.667,8,34,9,5,2,16,23,,22,57,.386,7,28,.250,24,33,.727,10,33,9,7,3,9,12
2023-01-28,,Old Dominion,L,59,60,18,58,.310,7,29,.241,16,26,.615,9,38,8,7,3,7,18,,20,60,.333,6,28,.214,14,21,.667,15,47,9,4,4,11,21
2023-02-02,@,Louisiana-Monroe,L,70,83,25,63,.397,8,26,.308,12,15,.800,7,28,12,7,2,5,23,,22,49,.449,15,28,.536,24,29,.828,6,33,18,2,3,7,12
2023-02-04,@,Arkansas State,L,57,73,21,55,.382,3,17,.176,12,16,.750,9,33,4,4,3,14,21,,22,50,.440,8,23,.348,21,29,.724,5,28,11,8,2,7,13
2023-02-09,,Marshall,L,74,92,25,63,.397,7,25,.280,17,23,.739,8,34,13,5,2,14,9,,36,77,.468,13,40,.325,7,11,.636,12,37,21,7,5,9,17
