2023-11-06,,Southeast Missouri State,W,88,67,31,62,.500,7,21,.333,19,27,.704,14,44,11,9,6,17,19,,25,64,.391,11,21,.524,6,15,.400,9,28,16,11,2,15,19
2023-11-12,,Northern Arizona,W,89,55,31,55,.564,6,17,.353,21,28,.750,9,36,10,10,5,13,15,,22,56,.393,5,18,.278,6,11,.545,4,22,13,6,2,16,21
2023-11-17,N,San Francisco,W,76,72,21,53,.396,6,24,.250,28,38,.737,11,36,8,10,5,15,19,,26,65,.400,7,23,.304,13,17,.765,9,28,14,11,2,14,24
2023-11-19,N,South Carolina,L,68,75,20,51,.392,5,16,.313,23,27,.852,9,27,7,3,1,13,21,,27,50,.540,7,17,.412,14,16,.875,3,20,18,3,1,8,24
2023-11-25,,North Dakota State,W,86,71,34,69,.493,5,12,.417,13,20,.650,13,34,12,6,7,4,15,,25,54,.463,5,16,.313,16,22,.727,7,30,6,2,3,15,16
2023-11-29,@,Texas-Rio Grande Valley,W,79,69,25,46,.543,5,14,.357,24,37,.649,7,35,13,9,11,18,26,,19,56,.339,5,17,.294,26,34,.765,9,25,12,8,2,13,28
2023-12-02,,UT Arlington,W,76,69,21,56,.375,6,23,.261,28,36,.778,16,36,8,12,2,13,15,,24,52,.462,6,15,.400,15,18,.833,8,25,9,6,2,18,30
2023-12-05,,San Diego State,W,79,73,24,50,.480,8,25,.320,23,31,.742,10,39,13,6,5,12,21,,25,62,.403,8,25,.320,15,24,.625,12,29,10,10,1,6,22
2023-12-09,@,Liberty,W,69,64,22,49,.449,4,15,.267,21,27,.778,10,36,8,6,7,14,17,,24,63,.381,6,25,.240,10,16,.625,13,32,12,6,2,8,19
2023-12-16,N,Portland,W,91,63,35,72,.486,13,36,.361,8,15,.533,15,47,18,7,4,7,20,,19,59,.322,9,26,.346,16,21,.762,9,31,9,4,3,9,15
2023-12-20,,Sam Houston,W,76,64,26,56,.464,7,25,.280,17,23,.739,9,31,16,10,3,12,16,,23,55,.418,3,17,.176,15,19,.789,6,27,9,8,4,16,17
2023-12-27,N,Bethesda University (CA),W,124,74,53,88,.602,13,36,.361,5,7,.714,15,46,31,13,11,9,9,,31,74,.419,6,22,.273,6,7,.857,7,25,11,7,2,17,11
2023-12-30,,Louisiana Tech,W,73,70,24,54,.444,11,20,.550,14,16,.875,9,24,13,7,5,11,15,,28,50,.560,6,14,.429,8,15,.533,4,23,13,8,1,14,13
2024-01-04,@,Southern Utah,W,96,75,38,66,.576,5,15,.333,15,15,1.000,7,33,15,10,5,9,19,,26,62,.419,6,22,.273,17,23,.739,11,29,10,6,3,12,14
2024-01-06,@,Utah Tech,W,75,65,28,57,.491,3,15,.200,16,24,.667,4,22,7,11,5,10,18,,23,51,.451,6,20,.300,13,21,.619,11,37,13,4,4,20,19
2024-01-11,,Abilene Christian,W,74,64,25,52,.481,5,17,.294,19,22,.864,6,34,15,3,8,15,15,,24,59,.407,2,10,.200,14,17,.824,6,27,10,6,0,10,21
2024-01-13,,Tarleton State,W,74,48,27,53,.509,8,15,.533,12,17,.706,11,43,12,3,6,10,13,,20,63,.317,5,18,.278,3,6,.500,8,22,9,7,3,7,18
2024-01-18,,Utah Valley,W,78,65,27,51,.529,9,19,.474,15,26,.577,7,36,15,14,7,21,22,,20,56,.357,4,14,.286,21,30,.700,8,28,6,10,2,16,21
2024-01-20,@,Seattle,L,79,86,21,54,.389,7,25,.280,30,44,.682,8,28,6,10,2,14,25,,26,51,.510,10,20,.500,24,34,.706,5,29,15,1,1,17,26
2024-01-25,@,Stephen F. Austin,W,53,51,15,49,.306,5,21,.238,18,23,.783,13,33,7,7,7,15,14,,19,56,.339,3,19,.158,10,13,.769,11,32,13,4,3,11,18


2024-01-27,@,UT Arlington,W,67,61,16,54,.296,4,19,.211,31,36,.861,12,29,7,11,2,18,19,,19,52,.365,5,22,.227,18,20,.900,9,30,11,10,6,22,27
2024-02-01,,Seattle,W (1 OT),95,88,33,66,.500,8,20,.400,21,25,.840,9,32,12,8,4,11,15,,32,69,.464,11,28,.393,13,17,.765,9,31,13,7,2,11,21
2024-02-03,@,Utah Valley,W,86,67,27,63,.429,9,22,.409,23,29,.793,8,41,18,10,6,7,17,,25,67,.373,7,22,.318,10,19,.526,11,42,16,2,10,12,22
2024-02-10,,Southern Utah,W,94,65,32,72,.444,8,19,.421,22,29,.759,19,46,11,13,5,11,20,,22,53,.415,5,17,.294,16,22,.727,3,24,5,4,4,19,22
2024-02-15,,Utah Tech,W,73,61,24,58,.414,12,26,.462,13,20,.650,14,41,16,7,4,12,16,,24,62,.387,8,23,.348,5,13,.385,13,30,11,6,4,10,19
2024-02-17,,California Baptist,W,79,76,26,54,.481,10,23,.435,17,25,.680,6,33,15,5,5,7,15,,29,61,.475,9,18,.500,9,11,.818,4,29,13,2,1,7,21
2024-02-22,@,Tarleton State,L,74,77,27,63,.429,8,27,.296,12,17,.706,13,35,10,6,3,12,26,,22,56,.393,4,19,.211,29,40,.725,12,34,7,8,3,7,18
2024-02-24,@,Abilene Christian,L,73,79,25,51,.490,4,15,.267,19,24,.792,4,28,6,2,2,9,25,,23,60,.383,4,11,.364,29,36,.806,10,30,12,6,2,7,18
2024-02-29,,Texas-Rio Grande Valley,W,72,43,29,58,.500,7,20,.350,7,9,.778,10,37,19,5,6,11,9,,18,54,.333,5,15,.333,2,3,.667,6,22,6,5,0,9,13
2024-03-02,,Stephen F. Austin,W,80,58,25,52,.481,8,25,.320,22,22,1.000,10,31,11,8,9,11,21,,17,48,.354,7,17,.412,17,27,.630,12,27,8,7,0,13,19
2024-03-09,@,California Baptist,W,68,47,25,56,.446,9,23,.391,9,9,1.000,4,24,14,11,10,4,15,,16,59,.271,6,20,.300,9,15,.600,18,43,11,0,5,16,8
2024-03-15,N,Seattle,W,80,72,25,55,.455,7,21,.333,23,32,.719,11,29,12,7,5,9,17,,24,57,.421,6,20,.300,18,20,.900,7,29,15,5,3,13,24
2024-03-16,N,UT Arlington,W,89,74,23,58,.397,6,20,.300,37,50,.740,10,30,13,12,2,12,22,,25,51,.490,10,27,.370,14,22,.636,6,26,11,7,1,26,33
2024-03-22,N,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
