1,2024-11-04,@,NC State,REG (Non-Conf),L,66,97,,21,62,.339,3,21,.143,18,41,.439,.363,21,27,.778,15,20,35,8,7,0,16,21,38,68,.559,9,27,.333,29,41,.707,.625,12,21,.571,14,28,42,22,9,8,11,24
2,2024-11-06,,Piedmont,REG (Non-Conf),W,103,70,,40,65,.615,13,28,.464,27,37,.730,.715,10,16,.625,9,33,42,24,7,4,16,20,25,67,.373,6,24,.250,19,43,.442,.418,14,21,.667,9,16,25,8,9,3,12,15
3,2024-11-08,@,Virginia Tech,REG (Non-Conf),L,74,93,,28,55,.509,9,21,.429,19,34,.559,.591,9,13,.692,5,18,23,15,3,3,17,22,31,62,.500,8,21,.381,23,41,.561,.565,23,30,.767,11,19,30,14,3,3,7,16
4,2024-11-13,@,Wake Forest,REG (Non-Conf),L,80,85,,30,63,.476,11,29,.379,19,34,.559,.563,9,10,.900,10,21,31,14,8,0,15,24,28,55,.509,7,26,.269,21,29,.724,.573,22,33,.667,11,19,30,14,10,1,11,14
5,2024-11-15,,UNC Wilmington,REG (Non-Conf),L,85,89,,30,65,.462,9,27,.333,21,38,.553,.531,16,23,.696,8,25,33,16,5,4,11,24,28,61,.459,5,19,.263,23,42,.548,.500,28,37,.757,5,27,32,12,5,1,10,21
6,2024-11-19,,S Wesleyan,REG (Non-Conf),W,95,63,,32,64,.500,10,25,.400,22,39,.564,.578,21,33,.636,10,34,44,14,7,1,12,22,22,60,.367,3,19,.158,19,41,.463,.392,16,30,.533,8,26,34,4,8,1,13,19
7,2024-11-22,@,East Tennessee State,REG (Non-Conf),L,76,87,,29,55,.527,3,16,.188,26,39,.667,.555,15,21,.714,5,25,30,9,5,1,17,18,30,65,.462,12,27,.444,18,38,.474,.554,15,23,.652,12,24,36,17,8,2,10,20
8,2024-11-23,N,Queens (NC),REG (Non-Conf),L,74,98,,27,58,.466,5,20,.250,22,38,.579,.509,15,29,.517,8,25,33,13,4,2,13,19,33,67,.493,14,38,.368,19,29,.655,.597,18,26,.692,13,27,40,20,7,3,10,23
9,2024-11-26,@,Iowa,REG (Non-Conf),L,77,110,,29,66,.439,9,27,.333,20,39,.513,.508,10,14,.714,8,23,31,14,4,2,19,14,43,71,.606,12,26,.462,31,45,.689,.690,12,15,.800,5,28,33,24,12,5,7,10
10,2024-11-30,@,Coastal Carolina,REG (Non-Conf),L,51,73,,21,63,.333,0,16,.000,21,47,.447,.333,9,12,.750,6,21,27,4,10,4,4,9,29,55,.527,9,21,.429,20,34,.588,.609,6,10,.600,5,36,41,14,3,0,13,12
11,2024-12-04,,Brevard,REG (Non-Conf),W,91,60,,32,60,.533,9,27,.333,23,33,.697,.608,18,25,.720,8,33,41,14,12,2,19,14,22,61,.361,9,27,.333,13,34,.382,.434,7,10,.700,1,19,20,12,11,2,19,17
12,2024-12-07,@,Western Carolina,REG (Non-Conf),W,74,68,,28,56,.500,4,16,.250,24,40,.600,.536,14,22,.636,7,21,28,14,14,3,12,15,24,54,.444,9,28,.321,15,26,.577,.528,11,16,.688,6,22,28,11,5,0,19,20
13,2024-12-14,@,South Carolina,REG (Non-Conf),L,53,73,,23,61,.377,1,10,.100,22,51,.431,.385,6,11,.545,11,24,35,8,8,4,14,19,25,59,.424,5,19,.263,20,40,.500,.466,18,25,.720,10,26,36,14,8,5,8,10
14,2024-12-18,,South Carolina State,REG (Non-Conf),L,70,85,,21,48,.438,3,13,.231,18,35,.514,.469,25,41,.610,7,20,27,14,6,5,21,24,28,59,.475,6,21,.286,22,38,.579,.525,23,31,.742,8,24,32,17,14,2,17,28
15,2024-12-21,,Youngstown State,REG (Non-Conf),L,64,72,,24,67,.358,1,18,.056,23,49,.469,.366,15,19,.789,8,27,35,13,10,1,16,23,23,57,.404,6,28,.214,17,29,.586,.456,20,25,.800,6,30,36,9,9,6,15,17
16,2025-01-02,@,Winthrop,REG (Conf),L,76,95,,26,65,.400,10,25,.400,16,40,.400,.477,14,16,.875,9,18,27,14,7,1,13,23,34,56,.607,6,19,.316,28,37,.757,.661,21,31,.677,10,26,36,11,7,1,12,16
17,2025-01-08,,Presbyterian,REG (Conf),W,77,67,,29,57,.509,6,19,.316,23,38,.605,.561,13,18,.722,9,21,30,11,9,3,11,16,23,57,.404,7,19,.368,16,38,.421,.465,14,20,.700,11,22,33,8,6,6,13,18
18,2025-01-11,,Radford,REG (Conf),L,67,80,,22,48,.458,7,24,.292,15,24,.625,.531,16,19,.842,6,20,26,12,6,3,15,20,28,57,.491,10,29,.345,18,28,.643,.579,14,18,.778,11,18,29,11,9,2,8,18
19,2025-01-15,@,UNC Asheville,REG (Conf),L,92,93,,36,64,.563,9,21,.429,27,43,.628,.633,11,18,.611,6,29,35,20,3,1,12,20,31,68,.456,12,29,.414,19,39,.487,.544,19,31,.613,10,23,33,17,7,4,6,18
20,2025-01-18,@,Gardner-Webb,REG (Conf),L,68,97,,24,59,.407,5,25,.200,19,34,.559,.449,15,18,.833,4,28,32,11,3,0,15,23,34,69,.493,17,37,.459,17,32,.531,.616,12,29,.414,15,29,44,20,10,4,7,18
21,2025-01-22,,High Point,REG (Conf),L,77,86,,32,61,.525,8,25,.320,24,36,.667,.590,5,6,.833,5,16,21,15,4,1,10,14,30,57,.526,14,31,.452,16,26,.615,.649,12,15,.800,8,24,32,17,8,0,11,9
22,2025-01-25,@,Longwood,REG (Conf),L,54,80,,20,54,.370,6,22,.273,14,32,.438,.426,8,16,.500,5,23,28,14,6,1,18,22,28,58,.483,7,20,.350,21,38,.553,.543,17,24,.708,12,28,40,15,11,2,12,19
23,2025-01-29,,Charleston Southern,REG (Conf),L,75,82,,29,65,.446,7,25,.280,22,40,.550,.500,10,19,.526,9,19,28,12,10,0,9,24,24,51,.471,8,27,.296,16,24,.667,.549,26,36,.722,9,29,38,11,3,4,16,18
24,2025-02-01,@,Radford,REG (Conf),L,69,79,,25,56,.446,8,24,.333,17,32,.531,.518,11,16,.688,7,17,24,11,3,4,10,24,22,47,.468,10,22,.455,12,25,.480,.574,25,30,.833,7,19,26,12,5,3,6,14
25,2025-02-05,@,Presbyterian,REG (Conf),L,64,75,,26,57,.456,7,24,.292,19,33,.576,.518,5,10,.500,2,18,20,17,13,2,18,14,32,60,.533,2,13,.154,30,47,.638,.550,9,12,.750,7,26,33,9,15,1,15,10
26,2025-02-08,,Winthrop,REG (Conf),L,95,105,,35,75,.467,11,30,.367,24,45,.533,.540,14,19,.737,11,18,29,19,9,6,14,29,33,61,.541,8,20,.400,25,41,.610,.607,31,35,.886,8,27,35,17,7,3,13,19
27,2025-02-12,,UNC Asheville,REG (Conf),L,85,92,,32,68,.471,11,27,.407,21,41,.512,.551,10,19,.526,5,23,28,16,6,1,6,18,29,63,.460,9,24,.375,20,39,.513,.532,25,31,.806,9,34,43,9,5,4,8,17
