1,2025-11-03,@,Auburn,REG (Non-Conf),L,90,95,OT,35,70,.500,12,23,.522,23,47,.489,.586,8,9,.889,8,24,32,18,9,9,12,24,31,68,.456,6,23,.261,25,45,.556,.500,27,38,.711,12,25,37,15,10,4,11,12
2,2025-11-06,@,Miami (FL),REG (Non-Conf),L,61,101,,21,66,.318,6,28,.214,15,38,.395,.364,13,19,.684,10,20,30,10,3,4,11,18,39,66,.591,8,17,.471,31,49,.633,.652,15,22,.682,10,34,44,25,8,7,6,20
3,2025-11-11,,Coastal Georgia,REG (Non-Conf),W,101,60,,39,62,.629,8,19,.421,31,43,.721,.694,15,29,.517,12,33,45,26,15,6,15,11,20,64,.313,10,34,.294,10,30,.333,.391,10,15,.667,15,17,32,9,12,4,21,19
4,2025-11-15,@,Dayton,REG (Non-Conf),L,82,91,,33,68,.485,7,20,.350,26,48,.542,.537,9,15,.600,11,16,27,12,7,2,10,24,27,50,.540,11,19,.579,16,31,.516,.650,26,32,.813,11,22,33,19,3,4,12,14
5,2025-11-19,@,Ohio,REG (Non-Conf),W,76,73,,30,57,.526,8,15,.533,22,42,.524,.596,8,14,.571,5,23,28,8,4,2,7,23,26,60,.433,2,17,.118,24,43,.558,.450,19,28,.679,9,26,35,10,3,1,7,14
6,2025-11-24,N,Jacksonville,REG (Non-Conf),L,64,69,,24,54,.444,4,18,.222,20,36,.556,.481,12,24,.500,7,23,30,14,6,2,9,15,25,53,.472,5,17,.294,20,36,.556,.519,14,25,.560,8,24,32,12,6,2,9,21
7,2025-11-25,N,Stony Brook,REG (Non-Conf),L,54,61,,18,60,.300,2,12,.167,16,48,.333,.317,16,26,.615,20,23,43,7,9,2,11,17,21,57,.368,9,30,.300,12,27,.444,.447,10,16,.625,10,25,35,10,6,3,12,16
8,2025-11-29,@,Indiana,REG (Non-Conf),L,56,100,,18,58,.310,3,15,.200,15,43,.349,.336,17,21,.810,9,17,26,9,7,5,11,14,36,66,.545,12,31,.387,24,35,.686,.636,16,19,.842,8,33,41,27,8,4,7,14
9,2025-12-05,,South Carolina State,REG (Non-Conf),W,80,59,,30,61,.492,9,19,.474,21,42,.500,.566,11,12,.917,6,21,27,18,10,6,7,12,20,62,.323,6,25,.240,14,37,.378,.371,13,19,.684,13,21,34,7,6,2,13,15
10,2025-12-14,@,Missouri,REG (Non-Conf),L,60,82,,19,45,.422,6,12,.500,13,33,.394,.489,16,21,.762,4,15,19,6,10,1,14,12,34,59,.576,7,19,.368,27,40,.675,.636,7,11,.636,10,20,30,16,10,7,15,19
11,2025-12-17,@,Saint Louis,REG (Non-Conf),L,53,112,,17,62,.274,3,18,.167,14,44,.318,.298,16,23,.696,10,16,26,5,8,3,12,19,40,64,.625,17,29,.586,23,35,.657,.758,15,23,.652,9,37,46,29,11,5,13,19
12,2025-12-22,@,Arizona,REG (Non-Conf),L,71,107,,25,52,.481,9,22,.409,16,30,.533,.567,12,18,.667,4,16,20,17,10,3,21,24,36,63,.571,9,17,.529,27,46,.587,.643,26,35,.743,13,25,38,22,12,2,13,13
13,2025-12-29,@,Oklahoma State,REG (Non-Conf),L,77,103,,26,56,.464,9,26,.346,17,30,.567,.545,16,22,.727,6,24,30,21,4,7,18,28,32,68,.471,5,14,.357,27,54,.500,.507,34,42,.810,11,24,35,14,11,3,8,18
14,2026-01-03,,Florida A&M,REG (Conf),W,87,83,,28,52,.538,5,17,.294,23,35,.657,.587,26,34,.765,5,22,27,14,6,2,6,16,28,58,.483,9,22,.409,19,36,.528,.560,18,22,.818,8,21,29,12,4,2,10,21
15,2026-01-10,,Grambling State,REG (Conf),W,74,65,,27,61,.443,5,14,.357,22,47,.468,.484,15,22,.682,12,22,34,13,8,5,17,15,22,56,.393,4,20,.200,18,36,.500,.429,17,22,.773,8,25,33,10,11,1,17,24
16,2026-01-12,,Southern,REG (Conf),L,73,77,,25,54,.463,6,21,.286,19,33,.576,.519,17,21,.810,8,27,35,12,4,7,16,21,25,66,.379,5,16,.313,20,50,.400,.417,22,30,.733,17,24,41,9,14,2,10,18
17,2026-01-17,@,Mississippi Valley State,REG (Conf),W,79,63,,28,48,.583,11,20,.550,17,28,.607,.698,12,19,.632,8,25,33,21,4,6,14,19,21,57,.368,7,22,.318,14,35,.400,.430,14,23,.609,4,13,17,12,10,1,6,18
18,2026-01-19,@,Arkansas–Pine Bluff,REG (Conf),W,87,82,OT,27,57,.474,3,13,.231,24,44,.545,.500,30,41,.732,13,22,35,13,10,5,17,22,28,56,.500,5,16,.313,23,40,.575,.545,21,30,.700,7,17,24,18,11,3,16,27
19,2026-01-24,,Jackson State,REG (Conf),W,85,48,,30,67,.448,7,22,.318,23,45,.511,.500,18,22,.818,14,35,49,17,9,9,11,15,17,67,.254,5,29,.172,12,38,.316,.291,9,10,.900,6,24,30,7,6,3,13,18
20,2026-01-26,,Alcorn State,REG (Conf),W,82,73,,30,55,.545,4,16,.250,26,39,.667,.582,18,26,.692,6,28,34,17,6,6,11,12,29,67,.433,7,19,.368,22,48,.458,.485,8,12,.667,8,23,31,13,8,1,9,18
21,2026-01-31,@,Alabama State,REG (Conf),W,69,54,,25,50,.500,4,12,.333,21,38,.553,.540,15,24,.625,11,26,37,10,7,3,17,12,21,56,.375,4,18,.222,17,38,.447,.411,8,11,.727,7,17,24,8,10,4,15,22
22,2026-02-02,@,Alabama A&M,REG (Conf),W,80,62,,29,55,.527,7,17,.412,22,38,.579,.591,15,28,.536,5,31,36,13,6,8,12,21,19,58,.328,3,15,.200,16,43,.372,.353,21,28,.750,7,27,34,6,7,1,12,20
23,2026-02-07,,Prairie View A&M,REG (Conf),W,82,76,,28,64,.438,2,14,.143,26,50,.520,.453,24,34,.706,17,33,50,11,4,4,12,19,27,70,.386,3,21,.143,24,49,.490,.407,19,26,.731,11,25,36,3,8,1,7,26
24,2026-02-09,,Texas Southern,REG (Conf),W,79,69,OT,24,62,.387,8,22,.364,16,40,.400,.452,23,35,.657,12,27,39,14,7,3,10,17,21,60,.350,5,23,.217,16,37,.432,.392,22,29,.759,10,25,35,7,6,3,11,27
25,2026-02-14,@,Alcorn State,REG (Conf),L,55,57,,21,44,.477,4,12,.333,17,32,.531,.523,9,14,.643,9,20,29,13,7,6,22,17,22,47,.468,1,8,.125,21,39,.538,.479,12,19,.632,7,9,16,6,14,3,12,12
26,2026-02-16,@,Jackson State,REG (Conf),L,86,91,,29,62,.468,3,17,.176,26,45,.578,.492,25,33,.758,10,24,34,15,6,4,13,26,27,56,.482,10,20,.500,17,36,.472,.571,27,35,.771,8,23,31,13,11,2,13,22
27,2026-02-19,,Alabama State,REG (Conf),W,82,71,,27,54,.500,8,18,.444,19,36,.528,.574,20,29,.690,3,31,34,16,3,6,7,17,26,67,.388,7,26,.269,19,41,.463,.440,12,19,.632,8,24,32,8,3,3,6,19
28,2026-02-21,,Alabama A&M,REG (Conf),W,85,76,,32,54,.593,9,18,.500,23,36,.639,.676,12,20,.600,7,21,28,19,5,5,10,18,27,62,.435,3,15,.200,24,47,.511,.460,19,25,.760,10,15,25,12,6,1,8,17
29,2026-02-26,@,Grambling State,REG (Conf),W,76,71,,31,62,.500,3,12,.250,28,50,.560,.524,11,17,.647,11,25,36,14,11,4,19,12,28,69,.406,8,25,.320,20,44,.455,.464,7,13,.538,14,19,33,15,12,6,16,12
30,2026-02-28,@,Southern,REG (Conf),W,82,79,,28,54,.519,3,15,.200,25,39,.641,.546,23,30,.767,11,24,35,14,7,6,15,20,30,66,.455,9,19,.474,21,47,.447,.523,10,19,.526,12,17,29,18,8,2,10,21
31,2026-03-05,@,Florida A&M,REG (Conf),L,77,81,,25,50,.500,2,8,.250,23,42,.548,.520,25,33,.758,6,22,28,8,7,1,16,22,26,63,.413,6,20,.300,20,43,.465,.460,23,27,.852,12,20,32,6,13,0,9,21

32,2026-03-11,N,Prairie View A&M,CTOURN,L,67,71,,26,58,.448,2,11,.182,24,47,.511,.466,13,19,.684,10,19,29,12,6,5,12,18,26,53,.491,8,14,.571,18,39,.462,.566,11,20,.550,6,20,26,10,3,5,11,18
