,School,,Opponent,G,Date, ,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,School,,Opponent,G,Date, ,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,21,22,23,24,25,26,27,28,29,30,31,32,33,34

2018-11-09,N,Wichita State,L,80,83,28,60,.467,11,29,.379,13,26,.500,14,29,19,8,5,15,17,,30,60,.500,12,22,.545,11,19,.579,12,31,19,8,4,16,20
2018-11-13,,Holy Cross,W,70,61,27,59,.458,6,17,.353,10,18,.556,11,40,12,9,4,13,12,,22,61,.361,7,18,.389,10,11,.909,10,35,14,9,1,12,18
2018-11-17,N,South Carolina,W,76,67,22,56,.393,4,13,.308,28,34,.824,9,32,13,5,3,11,18,,25,62,.403,6,25,.240,11,14,.786,8,31,8,6,2,12,26
2018-11-18,N,Michigan,L,47,66,16,57,.281,2,18,.111,13,20,.650,12,33,6,4,6,11,19,,23,52,.442,6,18,.333,14,20,.700,8,33,15,3,3,9,18
2018-11-24,,Iona,W,91,79,33,67,.493,9,22,.409,16,20,.800,13,32,17,6,5,12,17,,29,57,.509,6,20,.300,15,18,.833,7,30,15,6,0,15,16
2018-11-27,,Fairleigh Dickinson,W,69,59,25,50,.500,3,13,.231,16,26,.615,7,30,11,8,4,13,13,,23,53,.434,9,24,.375,4,10,.400,6,28,8,8,2,14,22
2018-12-01,,Rhode Island,W,59,50,18,50,.360,5,13,.385,18,30,.600,8,43,11,4,6,14,21,,17,57,.298,2,18,.111,14,26,.538,7,34,7,6,2,8,25
2018-12-04,@,Boston College,W (1 OT),100,95,34,71,.479,9,21,.429,23,34,.676,13,31,21,5,3,10,29,,26,58,.448,7,20,.350,36,45,.800,9,35,16,8,3,16,27
2018-12-07,,UMass,L,78,79,26,55,.473,10,17,.588,16,25,.640,8,30,14,5,4,12,15,,31,61,.508,8,19,.421,9,17,.529,9,29,11,6,1,10,16
2018-12-16,,Central Connecticut,W,87,63,30,59,.508,11,23,.478,16,23,.696,16,40,26,10,8,11,15,,24,58,.414,6,15,.400,9,15,.600,11,25,5,8,3,13,19
2018-12-18,,Albany (NY),W,73,43,24,57,.421,6,18,.333,19,24,.792,10,39,12,9,4,14,17,,15,50,.300,6,25,.240,7,13,.538,5,27,5,6,2,22,27
2018-12-21,@,Texas,W,71,65,26,57,.456,5,13,.385,14,22,.636,5,37,15,6,2,11,23,,23,61,.377,6,24,.250,13,23,.565,7,29,8,7,3,9,20
2018-12-31,,Creighton,L,68,79,24,59,.407,7,21,.333,13,20,.650,10,33,12,4,6,10,17,,25,56,.446,13,29,.448,16,19,.842,7,35,14,4,3,11,18
2019-01-05,,Villanova,L,59,65,20,58,.345,6,25,.240,13,25,.520,15,37,11,6,3,12,16,,23,51,.451,7,22,.318,12,15,.800,6,33,8,8,2,13,25
2019-01-12,@,Georgetown,L (2 OT),90,96,33,78,.423,8,24,.333,16,21,.762,11,40,26,10,4,13,22,,34,75,.453,9,29,.310,19,28,.679,13,45,21,5,8,17,21
2019-01-15,,Seton Hall,W,72,63,24,58,.414,7,20,.350,17,26,.654,9,32,14,9,5,11,12,,23,55,.418,5,16,.313,12,12,1.000,7,37,10,7,2,21,22
2019-01-20,@,Marquette,L,68,79,26,63,.413,4,19,.211,12,23,.522,12,38,19,6,2,10,24,,23,54,.426,10,22,.455,23,25,.920,3,29,16,5,6,6,18
2019-01-23,@,Xavier,W,64,62,25,61,.410,6,22,.273,8,10,.800,13,27,16,11,5,10,12,,25,52,.481,6,17,.353,6,6,1.000,7,29,14,5,3,18,14
2019-01-27,,DePaul,W,70,67,22,57,.386,4,21,.190,22,26,.846,13,34,14,12,3,15,19,,23,54,.426,5,19,.263,16,20,.800,9,31,13,7,4,17,21


2019-01-30,@,Seton Hall,L,63,65,21,55,.382,7,22,.318,14,17,.824,6,28,12,10,1,13,18,,25,52,.481,3,14,.214,12,15,.800,8,37,8,7,5,19,18
2019-02-02,@,DePaul,L,55,67,16,56,.286,7,29,.241,16,18,.889,9,28,14,13,4,16,20,,23,57,.404,4,15,.267,17,18,.944,12,38,11,10,2,21,14
2019-02-06,,Georgetown,L,67,76,25,67,.373,4,22,.182,13,19,.684,13,31,9,9,5,11,21,,26,59,.441,7,18,.389,17,23,.739,13,44,15,7,4,16,20
2019-02-09,@,St. John's (NY),W,70,56,21,53,.396,7,17,.412,21,28,.750,16,43,14,4,4,14,19,,20,54,.370,2,12,.167,14,17,.824,7,23,11,8,6,9,20
2019-02-13,@,Villanova,L,67,85,24,57,.421,6,21,.286,13,16,.813,11,30,17,6,0,14,23,,28,54,.519,10,23,.435,19,26,.731,8,24,19,5,5,11,20
2019-02-16,,Xavier,L,61,75,20,56,.357,6,18,.333,15,22,.682,7,21,9,11,4,10,15,,29,49,.592,8,14,.571,9,15,.600,5,34,18,6,3,17,15
2019-02-20,,St. John's (NY),W,78,59,22,51,.431,7,17,.412,27,37,.730,9,42,15,9,3,15,13,,22,61,.361,5,17,.294,10,18,.556,6,31,13,10,4,12,23
2019-02-23,,Marquette,L,58,76,22,57,.386,6,20,.300,8,16,.500,9,25,10,5,4,8,14,,28,51,.549,10,21,.476,10,13,.769,5,35,12,1,4,12,18
2019-02-26,@,Butler,W (1 OT),73,67,24,58,.414,5,25,.200,20,27,.741,7,36,14,7,6,13,22,,19,60,.317,6,24,.250,23,29,.793,7,30,7,7,3,12,20
2019-03-06,@,Creighton,L (1 OT),70,76,28,62,.452,4,20,.200,10,21,.476,14,41,12,6,1,18,21,,27,64,.422,9,38,.237,13,20,.650,9,37,13,13,2,13,23
2019-03-09,,Butler,W,83,70,27,53,.509,11,19,.579,18,22,.818,11,37,18,6,5,17,16,,26,58,.448,7,22,.318,11,16,.688,4,19,7,9,2,8,19
2019-03-13,N,Butler,W,80,57,29,52,.558,11,23,.478,11,17,.647,4,31,15,6,5,10,9,,23,53,.434,7,21,.333,4,7,.571,3,23,15,6,0,12,19
2019-03-14,N,Villanova,L,62,73,20,49,.408,5,20,.250,17,21,.810,5,29,11,9,3,18,18,,22,60,.367,10,31,.323,19,25,.760,12,36,14,11,4,12,18
2019-03-19,,Arkansas,L,72,84,24,62,.387,3,23,.130,21,30,.700,13,35,16,11,7,9,20,,29,57,.509,10,21,.476,16,21,.762,9,35,19,5,10,14,21
