2021-11-09,,Academy of Art,W,69,,25,57,.439,6,17,.353,13,16,.813,7,38,18,6,5,18,11,,,,,,,,,,,,,,,,,
2021-11-13,,Saint Mary's,L,50,52,19,51,.373,9,24,.375,3,7,.429,3,27,10,8,4,11,14,,18,58,.310,7,22,.318,9,14,.643,13,42,7,8,4,14,15
2021-11-18,@,San Francisco,L,46,73,15,47,.319,4,18,.222,12,16,.750,9,39,5,6,2,25,14,,26,66,.394,7,21,.333,14,18,.778,8,31,8,17,1,9,14
2021-11-23,@,Sacramento State,W,75,46,28,56,.500,13,27,.481,6,8,.750,5,36,25,7,4,13,10,,16,57,.281,5,23,.217,9,10,.900,7,30,8,9,3,13,16
2021-11-26,,Weber State,W,62,54,22,61,.361,9,32,.281,9,14,.643,7,32,16,7,4,12,13,,19,58,.328,6,17,.353,10,13,.769,11,41,12,7,1,17,16
2021-12-01,@,Oregon,W,64,57,20,52,.385,8,23,.348,16,23,.696,10,37,12,2,1,12,13,,21,61,.344,5,22,.227,10,17,.588,14,34,10,5,0,8,19
2021-12-04,,Washington State,L,49,71,18,43,.419,5,17,.294,8,12,.667,4,31,10,3,1,20,11,,28,62,.452,10,23,.435,5,10,.500,9,29,19,8,3,9,19
2021-12-13,,Cal State Stanislaus,W,84,,34,62,.548,8,21,.381,8,11,.727,8,42,21,5,6,10,11,,,,,,,,,,,,,,,,,
2021-12-15,@,Stanford,L,42,68,17,55,.309,4,23,.174,4,7,.571,4,26,3,2,3,14,12,,28,65,.431,4,17,.235,8,13,.615,13,42,13,13,4,8,9
2021-12-19,,Gonzaga,W,69,66,25,48,.521,9,23,.391,10,12,.833,4,22,11,3,4,14,14,,23,57,.404,6,13,.462,14,16,.875,15,31,12,11,3,11,16
2022-01-06,@,UC-Irvine,L,59,76,21,49,.429,8,23,.348,9,14,.643,9,28,13,7,2,18,13,,27,68,.397,11,26,.423,11,13,.846,15,33,17,9,0,9,18
2022-01-08,@,UC-San Diego,L,56,59,19,58,.328,7,28,.250,11,15,.733,7,34,16,8,6,6,11,,22,58,.379,9,26,.346,6,8,.750,5,39,13,2,0,9,17
2022-01-20,,UCSB,W,61,49,22,49,.449,10,28,.357,7,12,.583,8,32,18,7,4,16,13,,15,54,.278,6,17,.353,13,18,.722,12,30,4,8,4,13,16
2022-01-22,,Cal State Northridge,W,48,41,13,48,.271,5,28,.179,17,20,.850,7,38,9,3,1,16,19,,14,54,.259,2,12,.167,11,16,.688,7,34,6,5,3,9,23
2022-01-27,@,Cal State Fullerton,L,65,69,24,59,.407,6,17,.353,11,17,.647,10,31,18,11,3,20,24,,23,53,.434,4,15,.267,19,28,.679,10,32,10,11,3,19,14
2022-01-29,@,Long Beach State,W,68,58,23,46,.500,7,19,.368,15,23,.652,7,44,16,2,1,18,13,,21,65,.323,7,30,.233,9,12,.750,6,25,10,10,3,8,21
2022-02-01,,UC-Riverside,L,59,61,24,62,.387,10,32,.313,1,3,.333,6,30,14,7,3,11,9,,24,59,.407,10,23,.435,3,6,.500,6,33,9,8,2,10,11
2022-02-04,@,Hawaii,L,50,57,15,53,.283,7,23,.304,13,22,.591,14,47,6,5,2,16,22,,16,50,.320,6,17,.353,19,30,.633,6,33,9,9,6,9,18
2022-02-10,,UC-San Diego,W,51,42,17,59,.288,6,28,.214,11,12,.917,12,49,10,5,7,14,8,,15,60,.250,7,25,.280,5,5,1.000,6,31,9,9,3,13,17
2022-02-12,,UC-Irvine,W,66,51,21,45,.467,7,18,.389,17,25,.680,6,35,17,2,6,16,14,,21,66,.318,4,24,.167,5,9,.556,13,28,11,12,2,11,22


2022-02-17,@,Cal Poly,W,85,55,34,60,.567,15,31,.484,2,4,.500,8,43,27,6,6,19,12,,22,72,.306,5,18,.278,6,8,.750,9,24,11,10,1,8,11
2022-02-19,@,Cal State Bakersfield,L,75,84,27,60,.450,10,27,.370,11,13,.846,11,32,17,3,2,11,23,,28,56,.500,8,16,.500,20,26,.769,8,25,10,3,1,5,21
2022-02-24,@,Cal State Northridge,W,58,50,22,52,.423,9,26,.346,5,8,.625,9,33,15,7,2,16,10,,18,48,.375,7,18,.389,7,11,.636,6,23,11,12,2,12,11
2022-02-26,@,UCSB,L,62,65,24,59,.407,3,21,.143,11,21,.524,14,36,16,6,2,13,18,,20,52,.385,8,22,.364,17,21,.810,7,31,11,3,1,13,23
2022-03-03,,Long Beach State,L,60,65,22,49,.449,9,23,.391,7,13,.538,9,32,19,9,1,25,18,,22,53,.415,8,17,.471,13,16,.813,5,25,12,15,1,15,16
2022-03-05,,Cal State Fullerton,W,70,42,25,58,.431,11,28,.393,9,11,.818,11,40,20,11,4,17,14,,14,61,.230,7,27,.259,7,11,.636,13,30,6,10,0,17,11
2022-03-09,@,Long Beach State,W,55,45,17,47,.362,7,20,.350,14,18,.778,8,39,13,6,3,22,19,,17,57,.298,3,19,.158,8,16,.500,7,24,8,10,3,12,20
2022-03-11,@,UC-Irvine,L (1 OT),75,84,29,69,.420,6,28,.214,11,14,.786,9,34,15,4,5,14,21,,27,59,.458,7,22,.318,23,30,.767,5,30,10,9,3,8,19
