2022-11-07,,Green Bay,W,80,67,29,66,.439,10,23,.435,12,16,.750,9,41,19,8,4,13,13,,26,67,.388,7,26,.269,8,8,1.000,7,32,11,5,2,12,22
2022-11-13,,Iowa,L (1 OT),86,92,31,64,.484,7,28,.250,17,25,.680,7,43,13,5,9,22,23,,33,79,.418,9,27,.333,17,30,.567,12,37,21,11,1,10,19
2022-11-19,,Nebraska,W,80,62,31,56,.554,9,21,.429,9,15,.600,5,39,19,5,7,20,15,,22,71,.310,5,24,.208,13,15,.867,14,34,12,9,0,14,19
2022-11-25,N,UMass,L (1 OT),83,100,30,58,.517,9,27,.333,14,18,.778,5,29,24,8,5,30,25,,38,85,.447,8,20,.400,16,18,.889,15,34,17,14,3,16,19
2022-11-27,N,Howard,W,97,60,33,70,.471,10,35,.286,21,30,.700,7,55,28,6,10,15,21,,21,84,.250,4,20,.200,14,23,.609,13,33,11,7,6,10,22
2022-12-01,,Lindenwood,W,87,60,34,59,.576,9,22,.409,10,12,.833,8,34,23,7,6,14,10,,22,58,.379,9,26,.346,7,9,.778,5,20,10,6,2,10,14
2022-12-06,@,South Dakota,W,83,54,36,70,.514,4,18,.222,7,8,.875,12,49,21,6,7,17,11,,21,74,.284,7,28,.250,5,7,.714,14,31,13,5,3,11,17
2022-12-10,@,Creighton,L,71,75,27,55,.491,7,19,.368,10,16,.625,8,38,21,6,2,23,22,,24,60,.400,12,26,.462,15,17,.882,7,27,18,11,4,14,20
2022-12-22,@,Iowa State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30,@,Illinois State,L,76,87,23,55,.418,5,20,.250,25,35,.714,7,33,17,6,5,19,25,,28,63,.444,11,21,.524,20,24,.833,5,31,18,7,7,14,29
2023-01-01,@,Bradley,W,87,58,30,71,.423,9,29,.310,18,25,.720,21,49,22,9,1,13,13,,22,59,.373,4,16,.250,10,12,.833,5,30,12,7,2,16,19
2023-01-06,,Belmont,W,94,63,35,71,.493,14,38,.368,10,13,.769,14,47,29,10,8,11,11,,24,63,.381,9,26,.346,6,10,.600,4,22,8,5,2,13,13
2023-01-08,,Murray State,W,80,67,31,62,.500,9,26,.346,9,13,.692,9,33,19,13,4,15,12,,26,63,.413,4,19,.211,11,15,.733,13,33,11,8,0,16,16
2023-01-11,,Northern Iowa,L,69,70,24,68,.353,5,27,.185,16,18,.889,13,48,18,8,9,20,18,,27,68,.397,5,18,.278,11,23,.478,8,34,14,12,10,11,19
2023-01-14,@,Indiana State,W,86,65,31,59,.525,8,30,.267,16,23,.696,9,39,28,10,6,19,14,,23,70,.329,10,28,.357,9,12,.750,12,29,14,11,0,20,19
2023-01-19,,UIC,W,63,51,22,50,.440,7,25,.280,12,17,.706,9,34,16,9,5,16,13,,19,53,.358,4,14,.286,9,11,.818,7,23,7,8,2,16,20
2023-01-21,,Valparaiso,W,84,51,27,50,.540,7,16,.438,23,28,.821,9,36,16,13,6,19,18,,14,47,.298,7,27,.259,16,20,.800,8,23,9,12,2,24,25
